,TCGA-4Z-AA7R-01
10FTHF5GLUtl,0.0
10FTHF5GLUtm,0.0
10FTHF6GLUtl,0.0
10FTHF6GLUtm,0.0
10FTHF7GLUtl,0.0
10FTHF7GLUtm,0.0
10FTHFtl,0.0
10FTHFtm,0.0
11DOCRTSLtm,0.0
11DOCRTSLtr,0.0
11DOCRTSTRNtm,0.0
11DOCRTSTRNtr,0.0
13DAMPPOX,31.860132192214042
1MNCAMti,0.0
1PPDCRp,0.0
1a25DHVITD3TRn,0.0
1a_24_25VITD2Hm,0.0
1a_24_25VITD3Hm,0.0
1a_25VITD2Hm,0.0
1a_25VITD3Hm,0.0
24NPHte,0.0
24_25DHVITD2t,0.0
24_25DHVITD2tm,0.0
24_25DHVITD3t,0.0
24_25DHVITD3tm,0.0
24_25VITD2Hm,0.06380190436801908
24_25VITD3Hm,0.06380190436801908
25HVITD2t,0.0
25HVITD2tin,0.0
25HVITD2tin_m,0.0
25HVITD2tm,0.0
25HVITD3c,12.529540595829296
25HVITD3t,0.0
25HVITD3tin,0.010501301447113164
25HVITD3tin_m,0.0
25HVITD3tm,0.0
25VITD2Hm,12.529540595829296
25VITD3Hm,12.529540595829296
2AMACHYD,1.945381005788412
2AMACSULT,157.1415906397719
2AMADPTm,0.015874130886250674
2DR1PP,0.0
2HBO,748.1154771358656
2HBt2,120.01609078418608
2MB2COAc,497.9888325442382
2MCITt,0.0
2OXOADOXm,5.2793300204129725
2OXOADPTm,0.015874130886250674
34DHOXPEGOX,119.9101383696118
34DHOXPEGt,0.0
34DHPHAMT,36.581895130428975
34DHPHELAT1tc,28.485499553692087
34DHPHEt,0.5376728314905189
34DHPLACOX,31.705998867647963
34DHPLACOX_NADP_,31.705998867647963
34DHXMANDACOX,31.705998867647963
34DHXMANDACOX_NADP_,7.703575582934816
34HPLFM,0.0
34HPPOR,0.02720242397376757
34HPPte,0.0
35CGMPtn,0.0
3AIBTm,3.249571746868812
3AIB_Dtm,0.0
3AIBt,0.0
3AIBtm,3.249571746868812
3DPHBH1,0.0
3DPHBH2,0.0
3DSPHR,9.824976878817946
3HAO,0.6161488226087394
3HBCDm,23.06154171555139
3HBCOAHLm,0.0
3HBCOARc,497.9888325442382
3HKYNAKGAT,6.403012334634856
3HLYTCL,0.012235752992424064
3HPCOAHYD,6.946313386668748
3HPPD,0.0
3HXKYNDCL,0.012235752992424064
3HXKYNOXDA,4.273914069093161
3M4HDXPAC,31.705998867647963
3MLDAt,0.0
3MOBt2im,0.0
3MOBte,0.0
3MOPt2im,0.0
3MOPte,0.0
3MOX4HOXPGALDOX,31.705998867647963
3MOX4HOXPGALDOX_NADP_,31.705998867647963
3MOXTYROX,4.273914069093161
3NTD7l,68.3776913840572
3SALAASPm,4.584802882582324
3SALACBOXL,6.95687775222744
3SALAOX,0.0
3SALATAi,9.921111937881461
3SALATAim,92.10444414354893
3SPYRSP,0.0
3SPYRSPm,0.0
41R1H2MAE12BOOX,4.273914069093161
41R2A1H12BOOX,4.273914069093161
42A12BOOX,31.860132192214042
4ABUTtcn,0.0
4ABUTtm,0.0
4HBZCOAFm,0.0
4HBZFm,0.0
4HDEBRISOQUINEte,0.0
4HGLSDm,36.96472847582414
4HOXPACDOX_NADP_,31.705998867647963
4HPROLTASCT1,12.937381334123067
4HPRO_LTte,0.0
4MOPt2im,0.0
4MOPte,0.0
4MPTNLte,0.0
4MPTNLtm,0.0
4MPTNLtr,0.0
4MTOLBUTAMIDEte,0.0
4NPHSFte,0.0
4NPHSULT,157.1415906397719
4NPHte,0.0
4OHPROIMINOtc,0.047808334620271016
4PYRDX,0.0
5ADTSTSTERONEGLCte,8.689332890225701
5ADTSTSTERONEGLCtr,0.0
5ADTSTSTERONESULT,157.1415906397719
5ADTSTSTERONESte,0.0
5ADTSTSTERONEte,0.0
5ADTSTSTERONEtr,0.0
5AOPtm,0.0
5DHFtl,0.0
5FTHFt2,11.079915203039308
5HLTDL,0.012235752992424064
5HOMEPRAZOLEte,0.0
5HOXINDACTO2OX,0.007646363210489819
5HOXINDACTOXm,422.9521331545349
5HOXINOXDA,4.273914069093161
5HTRPDOX,0.22615199123509
5HTRPVESSEC,0.017078413611513986
5HXKYNDCL,0.012235752992424064
5HXKYNOXDA,4.273914069093161
5MTAte,0.0
5MTHFt,6.505599073980273
5MTHFt2,11.079915203039308
5MTHFt2le,0.0
5OXPROt,0.0
5THFtl,0.0
5THFtm,0.0
6DHFtl,0.0
6DHFtm,0.0
6HTSTSTERONEte,0.0
6HTSTSTERONEtr,0.0
6THFtl,0.0
6THFtm,0.0
7DHCHSTEROLtr,0.0
7DHFtl,0.0
7DHFtm,0.0
7THFtl,0.0
7THFtm,0.0
A4GALTc,21.998504222580923
A4GALTg,21.998504222580923
A4GNT1g,0.0
A4GNT2g,0.0
AACOAT,8.114781023792034
AACTOOR,31.860132192214042
AACTtm,0.0
AASAD3m,0.4643771659431331
AATAi,6.403012334634856
ABO1g,0.2610196412516516
ABO2g,0.2610196412516516
